date,diamond price
6/4/2021,10385.16
6/3/2021,10385.16
6/2/2021,10378.43
6/1/2021,10376.1
5/31/2021,10368.67
5/30/2021,10365.69
5/29/2021,10367.29
5/28/2021,10359.25
5/27/2021,10349.93
5/26/2021,10344.62
5/25/2021,10341.16
5/24/2021,10333.48
5/23/2021,10331.22
5/22/2021,10337.47
5/21/2021,10331.26
5/20/2021,10329.37
5/19/2021,10326.66
5/18/2021,10324.2
5/17/2021,10322.89
5/16/2021,10318.45
5/15/2021,10315.46
5/14/2021,10314.04
5/13/2021,10308.93
5/12/2021,10305.53
5/11/2021,10304.55
5/10/2021,10297.42
5/9/2021,10298.41
5/8/2021,10299.44
5/7/2021,10292.55
5/6/2021,10282.05
5/5/2021,10281.39
5/4/2021,10276.45
5/3/2021,10277.58
5/2/2021,10271.92
5/1/2021,10266.48
4/30/2021,10259.99
4/29/2021,10250.67
4/28/2021,10244.09
4/27/2021,10241.67
4/26/2021,10237.52
4/25/2021,10229.39
4/24/2021,10228.12
4/23/2021,10226.91
4/22/2021,10226.87
4/21/2021,10220.96
4/20/2021,10219.47
4/19/2021,10211.07
4/18/2021,10207.65
4/17/2021,10203.66
4/16/2021,10202.06
4/15/2021,10199.11
4/14/2021,10193.51
4/13/2021,10193.1
4/12/2021,10182.95
4/11/2021,10175.64
4/10/2021,10175.67
4/9/2021,10172.99
4/8/2021,10170.01
4/7/2021,10167.26
4/6/2021,10164.47
4/5/2021,10161.57
4/4/2021,10162.35
4/3/2021,10156.21
4/2/2021,10153.34
4/1/2021,10155.28
3/31/2021,10152.17
3/30/2021,10152.62
3/29/2021,10159.18
3/28/2021,10153.67
3/27/2021,10150.17
3/26/2021,10146.98
3/25/2021,10147.22
3/24/2021,10141.22
3/23/2021,10138.39
3/22/2021,10135.19
3/21/2021,10131.97
3/20/2021,10127.09
3/19/2021,10123.84
3/18/2021,10118.14
3/17/2021,10116.9
3/16/2021,10112.05
3/15/2021,10105.56
3/14/2021,10100.82
3/13/2021,10097.9
3/12/2021,10098.87
3/11/2021,10091.85
3/10/2021,10076.72
3/9/2021,10071.02
3/8/2021,10071.24
3/7/2021,10070.32
3/6/2021,10070.34
3/5/2021,10074.11
3/4/2021,10067.02
3/3/2021,10065.01
3/2/2021,10065.4
3/1/2021,10064.65
2/28/2021,10065.89
2/27/2021,10064.5
2/26/2021,10060.14
2/25/2021,10052.9
2/24/2021,10044.2
2/23/2021,10046.2
2/22/2021,10043.36
2/21/2021,10034.65
2/20/2021,10031.81
2/19/2021,10033.78
2/18/2021,10037.39
2/17/2021,10035.86
2/16/2021,10030.11
2/15/2021,10024.47
2/14/2021,10014.51
2/13/2021,10013.64
2/12/2021,10012.5
2/11/2021,10006.63
2/10/2021,10003.54
2/9/2021,9994.95
2/8/2021,9989.18
2/7/2021,9978.76
2/6/2021,9974.91
2/5/2021,9967.93
2/4/2021,9962.4
2/3/2021,9955.06
2/2/2021,9952.17
2/1/2021,9950.1
1/31/2021,9942.39
1/30/2021,9935.34
1/29/2021,9931.86
1/28/2021,9928.98
1/27/2021,9926.88
1/26/2021,9922.93
1/25/2021,9919.07
1/24/2021,9914.68
1/23/2021,9915.5
1/22/2021,9911.89
1/21/2021,9909.56
1/20/2021,9904.69
1/19/2021,9900.91
1/18/2021,9893.67
1/17/2021,9894.55
1/16/2021,9892.7
1/15/2021,9888.39
1/14/2021,9884.31
1/13/2021,9876.1
1/12/2021,9868.29
1/11/2021,9862.71
1/10/2021,9855.28
1/9/2021,9851.34
1/8/2021,9841.72
1/7/2021,9836.43
1/6/2021,9836.43
1/5/2021,9829.49
1/4/2021,9814.61
1/3/2021,9817.44
1/2/2021,9813.46
1/1/2021,9813.69
12/31/2020,9812.21
12/30/2020,9812.21
12/29/2020,9813.69
12/28/2020,9802.3
12/27/2020,9802.94
12/26/2020,9802.6
12/25/2020,9801.17
12/24/2020,9799.22
12/23/2020,9800.97
12/22/2020,9802.71
12/21/2020,9801.41
12/20/2020,9799.26
12/19/2020,9797.04
12/18/2020,9788.17
12/17/2020,9783.73
12/16/2020,9783.31
12/15/2020,9787.98
12/14/2020,9790.6
12/13/2020,9789.82
12/12/2020,9788.01
12/11/2020,9789.49
12/10/2020,9792.15
12/9/2020,9794.1
12/8/2020,9795.49
12/7/2020,9794.39
12/6/2020,9789.05
12/5/2020,9786.78
12/4/2020,9784.07
12/3/2020,9782.11
12/2/2020,9771.59
12/1/2020,9773.41
11/30/2020,9774.99
11/29/2020,9770.82
11/28/2020,9767.2
11/27/2020,9759
11/26/2020,9751.21
11/25/2020,9751.4
11/24/2020,9757.11
11/23/2020,9758.71
11/22/2020,9757.19
11/21/2020,9751.49
11/20/2020,9753.91
11/19/2020,9751.6
11/18/2020,9746.67
11/17/2020,9747.36
11/16/2020,9749.29
11/15/2020,9740.07
11/14/2020,9737.25
11/13/2020,9734.21
11/12/2020,9730.68
11/11/2020,9732.91
11/10/2020,9735.15
11/9/2020,9725.84
11/8/2020,9721.35
11/7/2020,9721.33
11/6/2020,9713.3
11/5/2020,9713.1
11/4/2020,9708.27
11/3/2020,9704.72
11/2/2020,9698.62
11/1/2020,9698.96
10/31/2020,9689.93
10/30/2020,9686.21
10/29/2020,9683.27
10/28/2020,9674.14
10/27/2020,9667.15
10/26/2020,9662.75
10/25/2020,9658.87
10/24/2020,9655.51
10/23/2020,9649.06
10/22/2020,9643.34
10/21/2020,9637.96
10/20/2020,9637.25
10/19/2020,9633.21
10/18/2020,9629.62
10/17/2020,9621.39
10/16/2020,9618.52
10/15/2020,9610.9
10/14/2020,9605.16
10/13/2020,9594.79
10/12/2020,9579.25
10/11/2020,9563.9
10/10/2020,9558.07
10/9/2020,9551.08
10/8/2020,9547.61
10/7/2020,9545.14
10/6/2020,9539.48
10/5/2020,9534.51
10/4/2020,9528.85
10/3/2020,9523.73
10/2/2020,9517.39
10/1/2020,9516.35
9/30/2020,9512.68
9/29/2020,9513.91
9/28/2020,9509.9
9/27/2020,9505.65
9/26/2020,9499.42
9/25/2020,9491.32
9/24/2020,9491.85
9/23/2020,9487.61
9/22/2020,9487.04
9/21/2020,9480.65
9/20/2020,9475.6
9/19/2020,9476.93
9/18/2020,9472.45
9/17/2020,9467.78
9/16/2020,9461.64
9/15/2020,9458.68
9/14/2020,9458.68
9/13/2020,9451.8
9/12/2020,9445.02
9/11/2020,9440.84
9/10/2020,9435.34
9/9/2020,9434.94
9/8/2020,9432.4
9/7/2020,9429.71
9/6/2020,9426.01
9/5/2020,9419.89
9/4/2020,9413.23
9/3/2020,9405.68
9/2/2020,9404.5
9/1/2020,9397.97
8/31/2020,9384.52
8/30/2020,9382.03
8/29/2020,9377.2
8/28/2020,9375.27
8/27/2020,9373.87
8/26/2020,9360.87
8/25/2020,9359.46
8/24/2020,9343.66
8/23/2020,9335.4
8/22/2020,9330.36
8/21/2020,9325
8/20/2020,9327.32
8/19/2020,9324.84
8/18/2020,9319.27
8/17/2020,9315.09
8/16/2020,9308.92
8/15/2020,9304.38
8/14/2020,9301.33
8/13/2020,9300.89
8/12/2020,9303
8/11/2020,9303.65
8/10/2020,9302.18
8/9/2020,9293.22
8/8/2020,9291.25
8/7/2020,9284
8/6/2020,9276.63
8/5/2020,9277.91
8/4/2020,9274.48
8/3/2020,9281.65
8/2/2020,9281.65
8/1/2020,9295.29
7/31/2020,9288.29
7/30/2020,9281.7
7/29/2020,9273.06
7/28/2020,9275.95
7/27/2020,9279.32
7/26/2020,9277.92
7/25/2020,9279.18
7/24/2020,9277.22
7/23/2020,9284.4
7/22/2020,9283.82
7/21/2020,9285.01
7/20/2020,9273.46
7/19/2020,9275.28
7/18/2020,9278.93
7/17/2020,9276.79
7/16/2020,9281.02
7/15/2020,9281.84
7/14/2020,9283.89
7/13/2020,9279.4
7/12/2020,9274.87
7/11/2020,9272.28
7/10/2020,9277.67
7/9/2020,9277.43
7/8/2020,9278.53
7/7/2020,9282.06
7/6/2020,9283.84
7/5/2020,9278.39
7/4/2020,9276.46
7/3/2020,9283.35
7/2/2020,9281.9
7/1/2020,9287.89
6/30/2020,9296.15
6/29/2020,9303.69
6/28/2020,9308.3
6/27/2020,9307.32
6/26/2020,9308.38
6/25/2020,9311.19
6/24/2020,9319.21
6/23/2020,9327.81
6/22/2020,9332.95
6/21/2020,9333.95
6/20/2020,9337.08
6/19/2020,9332.38
6/18/2020,9331.32
6/17/2020,9337.31
6/16/2020,9341.82
6/15/2020,9341.68
6/14/2020,9344.27
6/13/2020,9344.26
6/12/2020,9340.76
6/11/2020,9347.43
6/10/2020,9370.58
6/9/2020,9370.45
6/8/2020,9372.33
6/7/2020,9370.03
6/6/2020,9375.01
6/5/2020,9388.86
6/4/2020,9380.21
6/3/2020,9368.34
6/2/2020,9375.56
6/1/2020,9376.03
5/31/2020,9386.6
5/30/2020,9412.18
5/29/2020,9411.74
5/28/2020,9405.87
5/27/2020,9408.61
5/26/2020,9405.21
5/25/2020,9405.4
5/24/2020,9400.94
5/23/2020,9401.26
5/22/2020,9397.84
5/21/2020,9392.64
5/20/2020,9384.19
5/19/2020,9383.08
5/18/2020,9375.45
5/17/2020,9375.38
5/16/2020,9363.32
5/15/2020,9364.18
5/14/2020,9365.19
5/13/2020,9376.51
5/12/2020,9370.64
5/11/2020,9364.1
5/10/2020,9365.18
5/9/2020,9369.24
5/8/2020,9380.04
5/7/2020,9384.2
5/6/2020,9387.11
5/5/2020,9390.56
5/4/2020,9397.22
5/3/2020,9392.98
5/2/2020,9397.02
5/1/2020,9399.02
4/30/2020,9400.77
4/29/2020,9397.84
4/28/2020,9397.82
4/27/2020,9397.27
4/26/2020,9401.22
4/25/2020,9404.44
4/24/2020,9410.38
4/23/2020,9415.49
4/22/2020,9423.23
4/21/2020,9484.01
4/20/2020,9513.56
4/19/2020,9523.06
4/18/2020,9527.48
4/17/2020,9540.35
4/16/2020,9547.19
4/15/2020,9552.3
4/14/2020,9563.39
4/13/2020,9579.74
4/12/2020,9591.17
4/11/2020,9586.8
4/10/2020,9597.35
4/9/2020,9599.88
4/8/2020,9599.67
4/7/2020,9593.05
4/6/2020,9591.16
4/5/2020,9594.34
4/4/2020,9603.37
4/3/2020,9601.75
4/2/2020,9608.49
4/1/2020,9611.54
3/31/2020,9612
3/30/2020,9609.78
3/29/2020,9607.45
3/28/2020,9613.66
3/27/2020,9609.65
3/26/2020,9615.15
3/25/2020,9617.54
3/24/2020,9621.26
3/23/2020,9623.12
3/22/2020,9622.71
3/21/2020,9627.43
3/20/2020,9641.16
3/19/2020,9649.04
3/18/2020,9658.41
3/17/2020,9662.81
3/16/2020,9672.38
3/15/2020,9690.68
3/14/2020,9695.47
3/13/2020,9700.07
3/12/2020,9706.94
